2015-12-20 19:02:50.2404 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:03:45.3935 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:04:39.6276 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:07:20.7779 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:10:48.5907 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:11:34.1213 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:29:41.4475 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:30:12.0733 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:37:21.2178 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:38:00.5031 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:45:20.2582 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:46:48.4773 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:48:39.9327 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:50:37.6824 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:51:07.2791 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-20 19:52:14.4259 |                INFO |                Start application |                Ufo.Commander.App 
