2015-12-30 16:00:36.1479 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:01:26.1697 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:02:10.6473 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:03:27.0176 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:05:33.2398 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:08:07.4997 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:10:12.7068 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:12:39.7002 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-30 16:36:07.2177 |                INFO |                Start application |                Ufo.Commander.App 
