2015-12-29 22:01:40.3272 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:04:27.2807 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:06:05.2523 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:06:58.0923 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:07:49.5623 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:08:38.7711 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:11:25.3626 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:12:42.2040 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:13:37.4992 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:14:18.2195 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:15:05.7332 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:16:00.8964 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:16:48.9301 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:17:48.4795 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-29 22:19:03.0628 |                INFO |                Start application |                Ufo.Commander.App 
