2015-12-17 15:01:33.3290 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:04:03.1005 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:10:01.1290 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:13:07.6507 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:13:56.4375 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:37:53.9257 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:39:26.6240 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:51:44.4042 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:54:45.4946 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:55:50.8243 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:57:02.5004 |                INFO |                Start application |                Ufo.Commander.App 
2015-12-17 15:58:56.2339 |                INFO |                Start application |                Ufo.Commander.App 
