2016-01-07 22:09:37.3572 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:09:52.6460 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:13:41.0991 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:14:41.3355 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:16:31.6129 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:18:08.1634 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:20:32.2856 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:21:32.5341 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:26:34.7994 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:27:56.6500 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:28:46.6859 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:29:27.9613 |                INFO |                Start application |                Ufo.Commander.App 
2016-01-07 22:30:36.7712 |                INFO |                Start application |                Ufo.Commander.App 
